MSMEG_0217	1.685632557
MSMEG_0218	1.545727802
MSMEG_0219	1.217078373
MSMEG_0220	0.50975653
MSMEG_0221	0.627005336
MSMEG_0222	1.00373031
MSMEG_0223	#DIV/0!
MSMEG_0224	1.379637688
MSMEG_0225	0.374378417
MSMEG_0226	0.36661687
MSMEG_0227	0.317730628
MSMEG_0228	0.209115054
MSMEG_0229	1.259302831
MSMEG_0230	0.505027108
MSMEG_0231	2.570279491
MSMEG_0232	0.205347828
MSMEG_0233	0.799586471
MSMEG_0234	1.418873273
MSMEG_0235	0.806178703
MSMEG_0236	0.437629544
MSMEG_0237	#DIV/0!
MSMEG_0238	1.350478859
MSMEG_0239	0.887981427
MSMEG_0240	0.949803813
MSMEG_0241	0.282739426
MSMEG_0242	1.00051714
MSMEG_0243	1.334710923
MSMEG_0244	0.08509133
MSMEG_0246	0.213457649
MSMEG_0245	0.494953833
MSMEG_0247	1.924588631
MSMEG_0248	0.171788671
MSMEG_0249	0.262521475
MSMEG_0250	0.478934151
MSMEG_0251	0.408360635
MSMEG_0252	0.582094498
MSMEG_0253	0.531606703
MSMEG_0254	0.34085094
MSMEG_0255	2.15316349
MSMEG_0256	0.245569104
MSMEG_0257	1.296628042
MSMEG_0259	0.438381027
MSMEG_0258	0.529197088
MSMEG_0260	0.59981088
MSMEG_0261	0.812637669
MSMEG_0262	0.318997023
MSMEG_0263	0.551111546
MSMEG_0264	0.248452748
MSMEG_0266	0.626730603
MSMEG_0265	#DIV/0!
MSMEG_0267	1.079326875
MSMEG_0268	0.31437898
MSMEG_0269	2.289608563
MSMEG_0270	1.053677586
MSMEG_0271	0.482993155
MSMEG_0272	3.060887107
MSMEG_0273	#DIV/0!
MSMEG_0274	#DIV/0!
MSMEG_0275	#DIV/0!
MSMEG_0276	0.655074663
MSMEG_0277	0.345766109
MSMEG_0279	0.553460878
MSMEG_0278	#DIV/0!
MSMEG_0280	1.482699094
MSMEG_0281	0.57195818
MSMEG_0282	1.332770699
MSMEG_0283	0.199926448
MSMEG_0284	2.246934643
MSMEG_0285	0.263166964
MSMEG_0286	#DIV/0!
MSMEG_0287	1.81957248
MSMEG_0288	0.269163687
MSMEG_0289	0.28205872
MSMEG_0290	0.408218368
MSMEG_0291	#DIV/0!
MSMEG_0292	#DIV/0!
MSMEG_0293	1.401318126
MSMEG_0294	#DIV/0!
MSMEG_0295	#DIV/0!
MSMEG_0296	1.611826503
MSMEG_0297	#DIV/0!
MSMEG_0298	#DIV/0!
MSMEG_0299	#DIV/0!
MSMEG_0300	#DIV/0!
MSMEG_0301	1.054736069
MSMEG_0303	0.202321816
MSMEG_0302	#DIV/0!
MSMEG_0304	0.847898735
MSMEG_0305	0.304416095
MSMEG_0306	#DIV/0!
MSMEG_0307	0.693846044
MSMEG_0308	2.257094374
MSMEG_0309	1.359844397
MSMEG_0311	0.483806034
MSMEG_0312	1.669259469
MSMEG_0313	1.296414539
MSMEG_0314	1.101523068
MSMEG_0316	0.435651525
MSMEG_0315	0.082735824
MSMEG_0317	0.553307347
MSMEG_0319	0.319663518
MSMEG_0318	0.923071006
MSMEG_0320	0.863899353
MSMEG_0321	0.433092545
MSMEG_0323	1.019234846
MSMEG_0324	0.715017646
MSMEG_0325	0.657343961
MSMEG_0326	0.156561768
MSMEG_0327	1.026942308
MSMEG_0328	#DIV/0!
MSMEG_0329	#DIV/0!
MSMEG_0330	1.119368977
MSMEG_0331	0.900353416
MSMEG_0332	0.58020817
MSMEG_0333	1.333114645
MSMEG_0334	0.905491293
MSMEG_0335	1.030695179
MSMEG_0336	0.94811049
MSMEG_0337	0.459202346
MSMEG_0338	1.644505161
MSMEG_0339	0.959288906
MSMEG_0340	1.840176379
MSMEG_0341	#DIV/0!
MSMEG_0342	0.44281108
MSMEG_0343	#DIV/0!
MSMEG_0344	0.329783343
MSMEG_0345	#DIV/0!
MSMEG_0346	0.085347719
MSMEG_0347	0.675371097
MSMEG_0348	#DIV/0!
MSMEG_0349	0.253960854
MSMEG_0350	#DIV/0!
MSMEG_0351	0.607097258
MSMEG_0352	1.26503122
MSMEG_0353	1.020868516
MSMEG_0354	#DIV/0!
MSMEG_0355	1.126399593
MSMEG_0356	4.184243644
MSMEG_0357	0.311252501
MSMEG_0358	0.921195442
MSMEG_0359	0.137945261
MSMEG_0360	1.647533729
MSMEG_0361	1.158035459
MSMEG_0362	0.454945735
MSMEG_0363	1.187494023
MSMEG_0364	1.174420099
MSMEG_0365	0.583759747
MSMEG_0366	0.712215335
MSMEG_0367	0.683983123
MSMEG_0368	0.348673998
MSMEG_0369	1.262743572
MSMEG_0370	0.849301581
MSMEG_0371	0.903016156
MSMEG_0372	1.682007274
MSMEG_0373	0.839346141
MSMEG_0374	0.207208504
MSMEG_0375	0.191904978
MSMEG_0376	0.263264434
